vendor_id,name,domain,historical_rating,reliability_score,delivery_score,avg_delay_days,defect_rate,completed_contracts,cancellation_rate,verified
VND-0244,Lyons-Bender,Manufacturing & Heavy Machinery,3.81,0.523,50.0,15.0,0.0286,218,0.032,0
VND-0245,"Fernandez, Kim and George",Logistics & Freight,4.94,0.975,96.7,1.0,0.0015,288,0.005,1
VND-0246,Navarro-Munoz,IT Hardware,4.32,0.728,70.3,8.9,0.0163,264,0.026,1
VND-0247,Davis Ltd,Logistics & Freight,4.1,0.639,54.4,13.7,0.0217,135,0.025,0
VND-0248,"Matthews, Smith and Hubbard",IT Hardware,4.33,0.732,68.7,9.4,0.0161,61,0.015,1
VND-0249,Johnston-Hines,Healthcare & Medical Supplies,4.48,0.792,64.8,10.6,0.0125,66,0.013,1
VND-0250,Ruiz Ltd,Manufacturing & Heavy Machinery,4.97,0.987,100.0,0.1,0.001,29,0.001,1
VND-0251,Moon-White,Software & Cloud Services,4.62,0.849,73.2,8.0,0.0091,198,0.009,1
VND-0252,"Graham, Olsen and Costa",Manufacturing & Heavy Machinery,4.14,0.655,63.7,10.9,0.0207,225,0.022,1
VND-0253,Bailey-Cook,Manufacturing & Heavy Machinery,4.61,0.842,64.7,10.6,0.0095,104,0.004,1
VND-0254,"Garcia, Martin and Jenkins",Construction & Infrastructure,4.89,0.955,93.5,2.0,0.0027,138,0.006,1
VND-0255,Roberts-Landry,Raw Materials & Metals,4.94,0.975,90.2,2.9,0.0015,251,0.007,1
VND-0256,"Johnson, Miller and King",Raw Materials & Metals,4.52,0.807,68.8,9.4,0.0116,19,0.021,1
VND-0257,Cordova Group,Raw Materials & Metals,4.92,0.966,100.0,0.1,0.002,294,0.003,1
VND-0258,"Bryan, Smith and Booth",Raw Materials & Metals,3.81,0.523,50.0,15.0,0.0286,168,0.032,0
VND-0259,Gutierrez-Lopez,Software & Cloud Services,4.22,0.688,71.3,8.6,0.0187,248,0.028,1
VND-0260,Dean-Jimenez,Raw Materials & Metals,4.98,0.994,83.9,4.8,0.001,262,0.002,1
VND-0261,Wolf-Harris,Logistics & Freight,4.49,0.797,70.3,8.9,0.0122,166,0.024,1
VND-0262,"Anderson, Roberts and Gilmore",Construction & Infrastructure,4.96,0.985,93.2,2.0,0.001,217,0.003,1
VND-0263,Martinez-Dudley,Healthcare & Medical Supplies,4.8,0.919,85.5,4.4,0.0049,40,0.013,1
VND-0264,"Lloyd, Mckinney and Collins",Software & Cloud Services,4.27,0.707,60.1,12.0,0.0176,161,0.025,1
VND-0265,Tran Inc,Software & Cloud Services,3.82,0.528,56.3,13.1,0.0283,195,0.014,0
VND-0266,Gay Inc,Healthcare & Medical Supplies,4.77,0.906,95.9,1.2,0.0056,85,0.01,1
VND-0267,Valentine-Holland,IT Hardware,5.0,0.998,92.4,2.3,0.001,173,0.007,1
VND-0268,Jimenez Ltd,Logistics & Freight,4.71,0.884,91.9,2.4,0.0069,82,0.004,1
VND-0269,Hicks-Hill,Software & Cloud Services,4.81,0.925,74.6,7.6,0.0045,227,0.004,1
VND-0270,Baird-Sanchez,Logistics & Freight,4.31,0.725,61.4,11.6,0.0165,202,0.018,1
VND-0271,"Thomas, Lee and Greene",Raw Materials & Metals,4.94,0.977,93.9,1.8,0.0014,146,0.009,1
VND-0272,"Suarez, Shields and Hill",Logistics & Freight,4.04,0.614,64.6,10.6,0.0231,166,0.03,0
VND-0273,Morgan-French,Software & Cloud Services,4.52,0.809,73.1,8.1,0.0115,254,0.023,1
VND-0274,Hoover-Campbell,Healthcare & Medical Supplies,3.89,0.557,57.4,12.8,0.0266,130,0.038,0
VND-0275,Monroe-Carpenter,Manufacturing & Heavy Machinery,4.4,0.76,77.0,6.9,0.0144,218,0.026,1
VND-0276,"Burns, Hernandez and Ryan",IT Hardware,4.4,0.76,77.6,6.7,0.0144,61,0.022,1
VND-0277,Cook-Hines,Healthcare & Medical Supplies,4.44,0.776,69.6,9.1,0.0134,78,0.014,1
VND-0278,Gibson-Morris,Manufacturing & Heavy Machinery,4.85,0.938,84.2,4.7,0.0037,149,0.008,1
VND-0279,Pollard and Sons,Software & Cloud Services,3.92,0.567,50.0,15.0,0.026,205,0.009,0
VND-0280,"Reyes, Chase and Jenkins",Software & Cloud Services,4.69,0.878,81.9,5.4,0.0073,182,0.016,1
VND-0281,Garner-Thornton,Logistics & Freight,4.63,0.852,71.4,8.6,0.0089,252,0.018,1
VND-0282,Hughes-Alvarado,IT Hardware,3.92,0.568,50.0,15.0,0.0259,74,0.011,0
VND-0283,"Pollard, Simpson and Johnson",Software & Cloud Services,4.19,0.675,61.9,11.4,0.0195,267,0.008,1
VND-0284,"Sanford, Rivera and Garcia",Logistics & Freight,4.24,0.696,66.4,10.1,0.0182,84,0.015,1
VND-0285,Garcia-Lozano,Healthcare & Medical Supplies,4.88,0.952,83.0,5.1,0.0029,291,0.006,1
VND-0286,Bowen Group,Manufacturing & Heavy Machinery,4.39,0.757,77.5,6.8,0.0146,227,0.019,1
VND-0287,"Booker, Jones and Harrington",Logistics & Freight,4.25,0.698,66.4,10.1,0.0181,223,0.03,1
VND-0288,Morgan-Schwartz,Raw Materials & Metals,4.83,0.931,91.2,2.6,0.0041,204,0.004,1
VND-0289,"Miller, Murphy and Craig",Healthcare & Medical Supplies,3.93,0.574,65.1,10.5,0.0256,200,0.009,0
VND-0290,"James, Stewart and Higgins",Logistics & Freight,4.37,0.746,61.5,11.5,0.0152,198,0.005,1
VND-0291,Brennan-Johnson,Manufacturing & Heavy Machinery,4.32,0.73,73.7,7.9,0.0162,77,0.028,1
VND-0292,Young Ltd,Construction & Infrastructure,4.37,0.746,63.9,10.8,0.0152,123,0.019,1
VND-0293,Bright-Francis,Software & Cloud Services,4.54,0.817,72.6,8.2,0.011,40,0.018,1
VND-0294,Good-Hodges,Manufacturing & Heavy Machinery,3.84,0.538,50.0,15.0,0.0277,120,0.008,0
VND-0295,"Brennan, Wallace and Benson",Software & Cloud Services,3.91,0.564,50.0,15.0,0.0262,125,0.036,0
VND-0296,Williams Inc,Construction & Infrastructure,3.92,0.569,53.7,13.9,0.0258,90,0.035,0
VND-0297,Howard-Jordan,Construction & Infrastructure,3.98,0.591,50.0,15.0,0.0245,89,0.04,0
VND-0298,Schmidt PLC,Manufacturing & Heavy Machinery,4.87,0.948,81.9,5.4,0.0031,104,0.003,1
VND-0299,"Sparks, Jackson and Miller",Manufacturing & Heavy Machinery,4.58,0.834,62.8,11.2,0.01,22,0.009,1
VND-0300,Harvey-Allen,Logistics & Freight,3.99,0.596,50.0,15.0,0.0242,180,0.006,0
VND-0301,"Thomas, Murray and King",Healthcare & Medical Supplies,3.96,0.584,50.0,15.0,0.0249,230,0.024,0
VND-0302,Estrada-Nolan,Construction & Infrastructure,3.97,0.589,50.0,15.0,0.0247,244,0.033,0
VND-0303,Santana-Byrd,Construction & Infrastructure,3.9,0.56,52.6,14.2,0.0264,246,0.024,0
VND-0304,Jones LLC,Healthcare & Medical Supplies,4.01,0.603,50.0,15.0,0.0238,281,0.015,0
VND-0305,"Evans, Hayden and Vaughn",Manufacturing & Heavy Machinery,4.38,0.752,77.3,6.8,0.0149,46,0.028,1
VND-0306,Bruce-Gonzalez,Raw Materials & Metals,3.8,0.52,52.4,14.3,0.0288,70,0.026,0
VND-0307,Castaneda-Rodriguez,Software & Cloud Services,4.53,0.814,59.6,12.1,0.0112,56,0.009,1
VND-0308,Armstrong-Andrews,Construction & Infrastructure,4.84,0.937,91.2,2.6,0.0038,155,0.009,1
VND-0309,"Phillips, Spence and Barrett",Construction & Infrastructure,3.83,0.531,50.0,15.0,0.0282,181,0.021,0
VND-0310,Smith-Grimes,Raw Materials & Metals,4.76,0.903,88.1,3.6,0.0058,247,0.009,1
VND-0311,"Beltran, Lozano and Mcgee",Healthcare & Medical Supplies,3.98,0.592,50.0,15.0,0.0245,73,0.035,0
VND-0312,Parsons-Hall,Software & Cloud Services,4.21,0.685,66.4,10.1,0.0189,297,0.025,1
VND-0313,Robinson-Lee,Manufacturing & Heavy Machinery,4.52,0.809,69.6,9.1,0.0115,131,0.011,1
VND-0314,Byrd-Le,Logistics & Freight,4.33,0.731,71.6,8.5,0.0161,227,0.023,1
VND-0315,"Becker, Taylor and Davis",Software & Cloud Services,3.8,0.518,50.0,15.0,0.0289,145,0.021,0
VND-0316,"Lucas, Parker and Alexander",Manufacturing & Heavy Machinery,4.64,0.857,89.1,3.3,0.0086,257,0.004,1
VND-0317,"Diaz, Anderson and Browning",Healthcare & Medical Supplies,4.39,0.756,65.4,10.4,0.0146,236,0.006,1
VND-0318,Burgess-Thompson,Construction & Infrastructure,3.88,0.554,50.0,15.0,0.0268,81,0.027,0
VND-0319,Buchanan LLC,Raw Materials & Metals,4.42,0.766,68.6,9.4,0.014,183,0.019,1
VND-0320,"Shaw, Nelson and Martin",Healthcare & Medical Supplies,4.09,0.635,54.9,13.5,0.0219,231,0.033,0
VND-0321,Coffey-Phillips,Logistics & Freight,3.78,0.51,50.0,15.0,0.0294,162,0.031,0
VND-0322,Brock-Mcdonald,Healthcare & Medical Supplies,4.01,0.606,50.0,15.0,0.0237,274,0.012,0
VND-0323,Taylor and Sons,Construction & Infrastructure,3.9,0.56,58.5,12.4,0.0264,70,0.019,0
VND-0324,"Ramsey, Whitney and Coffey",Manufacturing & Heavy Machinery,4.49,0.797,75.1,7.5,0.0122,157,0.015,1
VND-0325,"Diaz, Gibbs and Smith",Healthcare & Medical Supplies,4.74,0.895,79.8,6.1,0.0063,300,0.002,1
VND-0326,"Martinez, Richardson and Curry",Logistics & Freight,3.86,0.543,54.8,13.6,0.0274,151,0.007,0
VND-0327,Richards-Carson,Logistics & Freight,4.48,0.793,79.7,6.1,0.0124,173,0.023,1
VND-0328,Rodriguez-Hall,Raw Materials & Metals,4.29,0.716,52.8,14.2,0.0171,88,0.019,1
VND-0329,Harvey PLC,Construction & Infrastructure,4.1,0.642,52.4,14.3,0.0215,30,0.008,0
VND-0330,Herman-Walker,Software & Cloud Services,4.56,0.823,73.4,8.0,0.0106,229,0.012,1
VND-0331,Reid Group,Construction & Infrastructure,4.2,0.678,70.6,8.8,0.0193,181,0.027,1
VND-0332,"Turner, Ortiz and Taylor",Manufacturing & Heavy Machinery,4.51,0.803,67.7,9.7,0.0118,41,0.006,1
VND-0333,Torres Group,Healthcare & Medical Supplies,3.88,0.551,50.0,15.0,0.0269,56,0.016,0
VND-0334,Davis PLC,Software & Cloud Services,4.06,0.623,50.8,14.8,0.0226,241,0.019,0
VND-0335,Price LLC,IT Hardware,3.98,0.593,54.0,13.8,0.0244,73,0.017,0
VND-0336,"Avery, Horton and Fernandez",Logistics & Freight,3.97,0.587,59.2,12.2,0.0248,264,0.024,0
VND-0337,"Newton, Moore and Perry",IT Hardware,3.85,0.54,50.0,15.0,0.0276,217,0.044,0
VND-0338,Bass PLC,Manufacturing & Heavy Machinery,4.26,0.705,69.5,9.2,0.0177,169,0.03,1
VND-0339,Crosby-Ramirez,IT Hardware,3.89,0.556,50.0,15.0,0.0266,145,0.016,0
VND-0340,"Wood, Ramos and Sampson",Raw Materials & Metals,4.96,0.985,93.7,1.9,0.001,235,0.003,1
VND-0341,Garcia-Jennings,Manufacturing & Heavy Machinery,4.77,0.909,75.7,7.3,0.0055,132,0.009,1
VND-0342,"Winters, Newman and Brown",Manufacturing & Heavy Machinery,3.96,0.585,59.0,12.3,0.0249,196,0.008,0
VND-0343,Lopez-Martinez,IT Hardware,4.91,0.965,90.5,2.8,0.0021,238,0.002,1
VND-0344,Davis-Lewis,Healthcare & Medical Supplies,4.46,0.786,70.0,9.0,0.0129,234,0.016,1
VND-0345,"Harper, Smith and Buchanan",IT Hardware,4.71,0.885,73.1,8.1,0.0069,163,0.004,1
VND-0346,Zhang PLC,Construction & Infrastructure,4.15,0.662,64.2,10.7,0.0203,102,0.029,1
VND-0347,Jones PLC,Manufacturing & Heavy Machinery,4.38,0.754,62.7,11.2,0.0148,200,0.006,1
VND-0348,Willis and Sons,Construction & Infrastructure,3.89,0.557,50.0,15.0,0.0266,238,0.028,0
VND-0349,Schroeder-Kramer,Software & Cloud Services,4.11,0.644,56.7,13.0,0.0213,173,0.028,0
VND-0350,"Smith, Garrison and Thomas",Healthcare & Medical Supplies,3.94,0.577,51.8,14.5,0.0254,101,0.008,0
VND-0351,Fernandez and Sons,Manufacturing & Heavy Machinery,4.42,0.766,55.9,13.2,0.014,276,0.008,1
VND-0352,Guerrero Inc,Software & Cloud Services,4.17,0.668,52.9,14.1,0.0199,90,0.011,1
VND-0353,Smith and Sons,Manufacturing & Heavy Machinery,3.83,0.532,55.0,13.5,0.0281,103,0.03,0
VND-0354,"Morris, Thompson and Williams",Manufacturing & Heavy Machinery,4.15,0.661,69.4,9.2,0.0203,53,0.01,1
VND-0355,"Fisher, Wilson and Brown",Manufacturing & Heavy Machinery,4.07,0.627,62.6,11.2,0.0224,252,0.03,0
VND-0356,Strickland-Palmer,Healthcare & Medical Supplies,4.7,0.88,82.6,5.2,0.0072,180,0.016,1
VND-0357,Hayes and Sons,Raw Materials & Metals,4.34,0.736,63.5,11.0,0.0159,240,0.005,1
VND-0358,"Williams, Logan and Camacho",Logistics & Freight,4.19,0.674,71.7,8.5,0.0195,155,0.022,1
VND-0359,"Turner, Schneider and Johnson",IT Hardware,4.79,0.915,94.8,1.6,0.0051,173,0.008,1
VND-0360,Boone-Simmons,Manufacturing & Heavy Machinery,3.91,0.562,51.8,14.5,0.0263,161,0.008,0
VND-0361,Henry Group,Construction & Infrastructure,4.92,0.969,82.7,5.2,0.0018,61,0.007,1
VND-0362,Lam LLC,Healthcare & Medical Supplies,3.83,0.533,52.6,14.2,0.028,298,0.044,0
VND-0363,"Hernandez, Martinez and Weber",Construction & Infrastructure,4.47,0.787,83.3,5.0,0.0128,245,0.023,1
VND-0364,"Kelley, Nguyen and Vang",Construction & Infrastructure,3.92,0.57,59.6,12.1,0.0258,179,0.028,0
VND-0365,"Phillips, Wagner and Jordan",Manufacturing & Heavy Machinery,4.0,0.601,50.0,15.0,0.024,46,0.021,0
VND-0366,"Wilson, Pena and Rich",IT Hardware,3.96,0.582,63.5,11.0,0.0251,190,0.041,0
VND-0367,"Le, Lewis and Hayes",Healthcare & Medical Supplies,4.58,0.833,76.0,7.2,0.01,103,0.003,1
VND-0368,Gutierrez Group,Construction & Infrastructure,4.2,0.679,69.2,9.2,0.0192,239,0.02,1
VND-0369,Perry-Davis,Raw Materials & Metals,4.24,0.696,66.8,10.0,0.0182,205,0.03,1
VND-0370,Edwards-Scott,IT Hardware,4.3,0.72,62.3,11.3,0.0168,188,0.022,1
VND-0371,Mcdaniel Group,IT Hardware,4.33,0.731,65.5,10.4,0.0161,186,0.005,1
VND-0372,Davis Inc,Healthcare & Medical Supplies,4.68,0.874,79.5,6.1,0.0076,212,0.007,1
VND-0373,Reynolds Ltd,Construction & Infrastructure,4.04,0.616,67.7,9.7,0.023,91,0.016,0
VND-0374,"Watson, Anderson and Brown",Healthcare & Medical Supplies,4.23,0.692,66.0,10.2,0.0185,194,0.013,1
VND-0375,"Hoffman, Santiago and Jenkins",Healthcare & Medical Supplies,4.88,0.953,91.0,2.7,0.0028,215,0.003,1
VND-0376,"Pugh, Henderson and Moon",Healthcare & Medical Supplies,3.9,0.558,63.7,10.9,0.0265,173,0.027,0
VND-0377,Schmitt PLC,Manufacturing & Heavy Machinery,4.53,0.814,72.8,8.2,0.0112,80,0.016,1
VND-0378,Bell-Lane,Healthcare & Medical Supplies,3.92,0.57,62.5,11.2,0.0258,284,0.009,0
VND-0379,Moore Group,Logistics & Freight,4.53,0.81,73.5,8.0,0.0114,200,0.003,1
VND-0380,Boone LLC,Manufacturing & Heavy Machinery,4.87,0.947,89.7,3.1,0.0032,124,0.005,1
VND-0381,"Richardson, Farmer and Andrews",Software & Cloud Services,3.94,0.576,50.4,14.9,0.0254,130,0.042,0
VND-0382,Bruce-Villegas,Construction & Infrastructure,4.06,0.624,57.9,12.6,0.0225,66,0.022,0
VND-0383,"Austin, Day and Johnson",Logistics & Freight,3.79,0.517,53.1,14.1,0.029,284,0.007,0
VND-0384,"Gallegos, Adams and White",Software & Cloud Services,4.7,0.881,92.9,2.1,0.0071,82,0.011,1
VND-0385,"Farmer, Dorsey and Bell",IT Hardware,4.18,0.671,64.6,10.6,0.0197,99,0.026,1
VND-0386,Kane PLC,Construction & Infrastructure,3.89,0.555,56.6,13.0,0.0267,136,0.042,0
VND-0387,"Morales, Thomas and Schultz",Software & Cloud Services,3.91,0.564,50.0,15.0,0.0262,244,0.014,0
VND-0388,Davis PLC,Software & Cloud Services,4.75,0.899,69.9,9.0,0.0061,255,0.015,1
VND-0389,Bennett Group,Logistics & Freight,4.04,0.615,59.6,12.1,0.0231,240,0.021,0
VND-0390,Moore-Collins,Software & Cloud Services,4.65,0.86,84.0,4.8,0.0084,272,0.011,1
VND-0391,Frank-Bradley,IT Hardware,4.62,0.847,80.8,5.8,0.0092,85,0.018,1
VND-0392,Ware and Sons,IT Hardware,4.06,0.626,56.5,13.0,0.0224,205,0.023,0
VND-0393,Webster Inc,Logistics & Freight,3.98,0.591,64.0,10.8,0.0246,279,0.035,0
VND-0394,"Miller, Ramos and Coleman",Construction & Infrastructure,4.48,0.792,65.5,10.4,0.0125,97,0.009,1
VND-0395,"Ramos, Nelson and Fischer",Software & Cloud Services,4.33,0.731,72.7,8.2,0.0161,238,0.006,1
VND-0396,Reed Inc,Raw Materials & Metals,3.94,0.577,58.3,12.5,0.0254,193,0.039,0
VND-0397,Gregory-Watkins,Raw Materials & Metals,4.38,0.753,66.6,10.0,0.0148,272,0.013,1
VND-0398,"Estrada, Williams and Foster",Logistics & Freight,3.77,0.509,58.5,12.4,0.0295,206,0.015,0
VND-0399,"Brown, Harris and Dougherty",Software & Cloud Services,4.92,0.966,92.8,2.2,0.002,186,0.009,1
VND-0400,Duran LLC,Software & Cloud Services,4.62,0.848,82.5,5.2,0.0091,256,0.015,1
VND-0401,Wilson-Jimenez,IT Hardware,4.63,0.854,71.1,8.7,0.0088,255,0.01,1
VND-0402,Thompson-James,Manufacturing & Heavy Machinery,4.47,0.788,78.1,6.6,0.0127,24,0.009,1
VND-0403,"Hall, Hansen and Barnett",Manufacturing & Heavy Machinery,4.28,0.712,66.5,10.0,0.0173,285,0.015,1
VND-0404,Jones-Hensley,Software & Cloud Services,4.92,0.967,96.5,1.0,0.002,169,0.002,1
VND-0405,Graham Group,Manufacturing & Heavy Machinery,4.31,0.725,57.4,12.8,0.0165,249,0.005,1
VND-0406,Atkins PLC,Construction & Infrastructure,4.98,0.992,100.0,0.1,0.001,289,0.001,1
VND-0407,Berry-Mckinney,IT Hardware,3.91,0.562,60.1,12.0,0.0263,88,0.016,0
VND-0408,Roberts-Sullivan,Software & Cloud Services,4.84,0.935,85.7,4.3,0.0039,138,0.008,1
VND-0409,Jackson-Meza,Logistics & Freight,4.49,0.796,71.5,8.5,0.0123,58,0.014,1
VND-0410,Collier-Gillespie,Manufacturing & Heavy Machinery,3.82,0.527,50.0,15.0,0.0284,284,0.028,0
VND-0411,Kim Inc,Manufacturing & Heavy Machinery,4.75,0.901,73.1,8.1,0.0059,298,0.002,1
VND-0412,Graham Group,Logistics & Freight,4.17,0.667,59.1,12.3,0.02,213,0.034,1
VND-0413,"Miller, Harrell and Reese",Logistics & Freight,4.42,0.769,81.8,5.5,0.0139,197,0.022,1
VND-0414,Cook and Sons,Healthcare & Medical Supplies,4.18,0.673,56.3,13.1,0.0196,68,0.027,1
VND-0415,Dixon Inc,Construction & Infrastructure,4.67,0.869,79.8,6.1,0.0079,83,0.003,1
VND-0416,"Hicks, Bullock and Bailey",Healthcare & Medical Supplies,4.03,0.612,54.3,13.7,0.0233,104,0.033,0
VND-0417,"Mullen, Brewer and Hernandez",Manufacturing & Heavy Machinery,3.93,0.57,50.0,15.0,0.0258,260,0.029,0
VND-0418,Thomas and Sons,Software & Cloud Services,4.37,0.749,62.9,11.1,0.015,249,0.004,1
VND-0419,Morrison Ltd,Logistics & Freight,4.89,0.957,77.5,6.8,0.0026,117,0.01,1
VND-0420,Thompson Ltd,Manufacturing & Heavy Machinery,4.48,0.79,79.1,6.3,0.0126,278,0.012,1
VND-0421,Marshall-Elliott,Healthcare & Medical Supplies,3.77,0.507,50.6,14.8,0.0296,144,0.007,0
VND-0422,"Cole, Glass and Cunningham",IT Hardware,3.97,0.589,59.6,12.1,0.0247,197,0.036,0
VND-0423,"Downs, Morris and Maddox",Manufacturing & Heavy Machinery,3.94,0.574,55.8,13.3,0.0255,184,0.015,0
VND-0424,Hernandez-Jones,Raw Materials & Metals,3.86,0.543,57.4,12.8,0.0274,219,0.035,0
VND-0425,Welch-Hogan,Raw Materials & Metals,4.38,0.751,68.9,9.3,0.0149,110,0.016,1
VND-0426,"Brown, Romero and Collins",IT Hardware,3.83,0.534,52.6,14.2,0.028,280,0.016,0
VND-0427,Johnson-Wood,Manufacturing & Heavy Machinery,4.01,0.605,65.4,10.4,0.0237,55,0.02,0
VND-0428,Jones-Lin,IT Hardware,4.01,0.603,50.0,15.0,0.0238,165,0.016,0
VND-0429,Gilbert PLC,Construction & Infrastructure,3.8,0.518,50.0,15.0,0.0289,166,0.018,0
VND-0430,Ford-Spencer,Logistics & Freight,4.46,0.782,63.4,11.0,0.0131,100,0.019,1
VND-0431,"Huang, Cole and Pacheco",Raw Materials & Metals,4.72,0.888,78.3,6.5,0.0067,195,0.011,1
VND-0432,"Lopez, Jacobs and Mason",Healthcare & Medical Supplies,4.41,0.762,65.8,10.3,0.0143,44,0.005,1
VND-0433,Hayes LLC,Healthcare & Medical Supplies,4.25,0.7,64.5,10.6,0.018,277,0.026,1
VND-0434,"Miller, Lucas and Williams",Construction & Infrastructure,3.94,0.578,50.0,15.0,0.0253,30,0.01,0
VND-0435,"Kim, Gonzales and Mills",IT Hardware,4.83,0.931,97.5,0.8,0.0041,239,0.002,1
VND-0436,Cox LLC,Construction & Infrastructure,4.22,0.687,55.8,13.3,0.0188,202,0.015,1
VND-0437,Ortiz-Morgan,Logistics & Freight,4.55,0.822,67.6,9.7,0.0107,93,0.016,1
VND-0438,"Williams, Mccoy and Cook",Construction & Infrastructure,3.78,0.513,50.0,15.0,0.0292,54,0.029,0
VND-0439,Davis-Gregory,Software & Cloud Services,4.64,0.858,80.1,6.0,0.0085,175,0.013,1
VND-0440,King-York,Raw Materials & Metals,3.78,0.514,50.0,15.0,0.0292,28,0.036,0
VND-0441,"Marks, Cook and Aguilar",Logistics & Freight,4.04,0.616,60.3,11.9,0.0231,75,0.014,0
VND-0442,Rangel LLC,Logistics & Freight,3.77,0.51,50.0,15.0,0.0294,124,0.047,0
VND-0443,"Hale, Myers and Larson",Software & Cloud Services,4.75,0.9,74.6,7.6,0.006,266,0.005,1
VND-0444,Collins Group,Healthcare & Medical Supplies,4.57,0.826,72.1,8.4,0.0104,246,0.006,1
VND-0445,"Conner, Li and Santiago",Manufacturing & Heavy Machinery,3.87,0.55,50.0,15.0,0.027,59,0.037,0
VND-0446,"Osborn, Gaines and Davis",Construction & Infrastructure,4.65,0.861,91.5,2.6,0.0083,192,0.014,1
VND-0447,"Henderson, Cox and Cox",Healthcare & Medical Supplies,4.79,0.915,80.0,6.0,0.0051,168,0.013,1
VND-0448,Bean LLC,Construction & Infrastructure,4.59,0.834,70.4,8.9,0.01,104,0.017,1
VND-0449,Lee-Cooke,Software & Cloud Services,4.12,0.647,64.3,10.7,0.0212,117,0.03,0
VND-0450,Jones Inc,Construction & Infrastructure,3.77,0.507,50.0,15.0,0.0296,28,0.021,0
VND-0451,"Wise, Conley and Stephenson",IT Hardware,4.01,0.604,50.0,15.0,0.0238,297,0.009,0
VND-0452,Stanley PLC,Healthcare & Medical Supplies,3.98,0.591,52.0,14.4,0.0246,218,0.041,0
VND-0453,Harper and Sons,Manufacturing & Heavy Machinery,4.28,0.711,72.9,8.1,0.0174,225,0.025,1
VND-0454,White Ltd,Healthcare & Medical Supplies,4.77,0.909,78.4,6.5,0.0055,79,0.015,1
VND-0455,"Lamb, Martin and Kim",Logistics & Freight,4.07,0.63,51.8,14.5,0.0222,253,0.027,0
VND-0456,Diaz-Ball,Software & Cloud Services,4.49,0.795,63.1,11.1,0.0123,297,0.017,1
VND-0457,Bishop-Goodwin,Manufacturing & Heavy Machinery,4.53,0.812,74.2,7.7,0.0113,81,0.012,1
VND-0458,Young-Allen,Logistics & Freight,4.44,0.776,64.7,10.6,0.0134,78,0.015,1
VND-0459,Mckee-Lee,Software & Cloud Services,4.12,0.647,64.8,10.6,0.0212,180,0.034,0
VND-0460,"Valentine, Joyce and Murray",Manufacturing & Heavy Machinery,4.7,0.882,68.8,9.4,0.0071,280,0.016,1
VND-0461,Strickland-Shaw,Construction & Infrastructure,4.84,0.934,79.4,6.2,0.0039,115,0.009,1
VND-0462,Burch-Montoya,IT Hardware,4.87,0.947,91.0,2.7,0.0032,170,0.008,1
VND-0463,"Taylor, Wright and Davidson",Construction & Infrastructure,4.28,0.713,55.4,13.4,0.0172,101,0.02,1
VND-0464,Spencer-Garcia,Construction & Infrastructure,4.09,0.634,55.9,13.2,0.0219,187,0.032,0
VND-0465,"Rosales, Mitchell and Hines",Healthcare & Medical Supplies,4.54,0.817,63.7,10.9,0.011,29,0.004,1
VND-0466,Cole-Palmer,Manufacturing & Heavy Machinery,3.92,0.57,61.4,11.6,0.0258,150,0.029,0
VND-0467,Davis-Lozano,Healthcare & Medical Supplies,4.98,0.992,90.3,2.9,0.001,30,0.005,1
VND-0468,Wilkerson-Arias,Manufacturing & Heavy Machinery,3.96,0.586,51.1,14.7,0.0248,169,0.023,0
VND-0469,Brown-Shaw,IT Hardware,3.77,0.509,57.2,12.8,0.0294,222,0.018,0
VND-0470,Hughes Inc,Raw Materials & Metals,3.9,0.559,55.4,13.4,0.0265,95,0.022,0
VND-0471,Walker-Flores,Logistics & Freight,4.09,0.637,59.5,12.2,0.0218,189,0.024,0
VND-0472,Combs Ltd,Manufacturing & Heavy Machinery,4.56,0.826,86.3,4.1,0.0105,178,0.017,1
VND-0473,Moody-Taylor,Logistics & Freight,4.01,0.603,50.0,15.0,0.0238,219,0.01,0
VND-0474,Lowery-Kennedy,Raw Materials & Metals,3.92,0.568,59.8,12.1,0.0259,69,0.017,0
VND-0475,Blake Group,IT Hardware,4.84,0.937,83.0,5.1,0.0038,245,0.004,1
VND-0476,Gilbert-Bullock,Raw Materials & Metals,4.5,0.8,72.0,8.4,0.012,211,0.021,1
VND-0477,Scott and Sons,Construction & Infrastructure,3.97,0.588,59.2,12.2,0.0247,96,0.034,0
VND-0478,"Bentley, Lynch and Henderson",Raw Materials & Metals,4.27,0.709,64.8,10.6,0.0174,112,0.025,1
VND-0479,Young-Martinez,Logistics & Freight,4.4,0.759,64.2,10.7,0.0144,254,0.015,1
VND-0480,Barnes PLC,Construction & Infrastructure,3.96,0.583,58.3,12.5,0.025,61,0.039,0
VND-0481,Brown-Copeland,Logistics & Freight,3.85,0.541,51.9,14.4,0.0275,138,0.014,0
VND-0482,Carlson-Smith,Manufacturing & Heavy Machinery,4.06,0.623,51.1,14.7,0.0226,159,0.021,0
VND-0483,"Andrews, Higgins and Carter",IT Hardware,4.11,0.644,58.3,12.5,0.0213,255,0.014,0
VND-0484,Mendez and Sons,Logistics & Freight,4.65,0.86,76.0,7.2,0.0084,235,0.005,1
VND-0485,"Butler, Beck and Miller",Raw Materials & Metals,4.46,0.783,72.9,8.1,0.013,221,0.011,1
VND-0486,Jones-Fox,Logistics & Freight,4.58,0.832,81.3,5.6,0.0101,114,0.009,1
VND-0487,"Hartman, Romero and Smith",Construction & Infrastructure,4.67,0.866,66.8,10.0,0.008,273,0.01,1
