auction_id,domain,title,max_budget,weight_cost,weight_reliability,weight_delivery,weight_reviews,duration_minutes,created_at
AUC-0380,Raw Materials & Metals,Procurement Request #0380 - Raw Materials & Metals,422547.45,34,39,20,10,10,2026-06-12 00:00:00
AUC-0381,Healthcare & Medical Supplies,Procurement Request #0381 - Healthcare & Medical Supplies,101189.69,22,33,27,18,5,2026-03-07 00:00:00
AUC-0382,Raw Materials & Metals,Procurement Request #0382 - Raw Materials & Metals,403295.22,60,19,16,5,15,2026-01-15 00:00:00
AUC-0383,Manufacturing & Heavy Machinery,Procurement Request #0383 - Manufacturing & Heavy Machinery,234511.57,33,13,17,37,30,2026-03-26 00:00:00
AUC-0384,IT Hardware,Procurement Request #0384 - IT Hardware,246654.75,30,35,18,17,5,2026-04-13 00:00:00
AUC-0385,Manufacturing & Heavy Machinery,Procurement Request #0385 - Manufacturing & Heavy Machinery,75405.19,35,10,11,44,30,2026-06-27 00:00:00
AUC-0386,Construction & Infrastructure,Procurement Request #0386 - Construction & Infrastructure,49494.74,29,21,12,38,10,2026-02-11 00:00:00
AUC-0387,Raw Materials & Metals,Procurement Request #0387 - Raw Materials & Metals,366690.26,25,31,29,15,15,2026-06-11 00:00:00
AUC-0388,IT Hardware,Procurement Request #0388 - IT Hardware,253265.96,23,21,30,26,10,2026-06-30 00:00:00
AUC-0389,Construction & Infrastructure,Procurement Request #0389 - Construction & Infrastructure,224056.84,26,14,25,35,10,2026-03-24 00:00:00
AUC-0390,Construction & Infrastructure,Procurement Request #0390 - Construction & Infrastructure,367459.03,37,35,24,10,10,2026-01-07 00:00:00
AUC-0391,Healthcare & Medical Supplies,Procurement Request #0391 - Healthcare & Medical Supplies,385101.32,44,21,14,21,15,2026-01-12 00:00:00
AUC-0392,Raw Materials & Metals,Procurement Request #0392 - Raw Materials & Metals,87865.0,48,27,19,6,30,2026-02-19 00:00:00
AUC-0393,Construction & Infrastructure,Procurement Request #0393 - Construction & Infrastructure,309010.32,31,27,21,21,15,2026-05-01 00:00:00
AUC-0394,Logistics & Freight,Procurement Request #0394 - Logistics & Freight,76323.5,53,39,27,10,10,2026-01-19 00:00:00
AUC-0395,Construction & Infrastructure,Procurement Request #0395 - Construction & Infrastructure,378173.79,29,24,19,28,15,2026-05-20 00:00:00
AUC-0396,Logistics & Freight,Procurement Request #0396 - Logistics & Freight,331908.03,49,10,30,11,30,2026-02-18 00:00:00
AUC-0397,IT Hardware,Procurement Request #0397 - IT Hardware,478741.16,54,37,21,10,10,2026-03-25 00:00:00
AUC-0398,Healthcare & Medical Supplies,Procurement Request #0398 - Healthcare & Medical Supplies,43789.43,24,31,27,18,30,2026-02-19 00:00:00
AUC-0399,Construction & Infrastructure,Procurement Request #0399 - Construction & Infrastructure,37956.81,46,34,27,10,10,2026-06-07 00:00:00
AUC-0400,Logistics & Freight,Procurement Request #0400 - Logistics & Freight,148271.67,40,23,30,7,15,2026-01-30 00:00:00
AUC-0401,IT Hardware,Procurement Request #0401 - IT Hardware,138235.79,48,31,12,10,5,2026-02-04 00:00:00
AUC-0402,Software & Cloud Services,Procurement Request #0402 - Software & Cloud Services,131019.61,22,16,13,49,30,2026-02-20 00:00:00
AUC-0403,IT Hardware,Procurement Request #0403 - IT Hardware,454064.74,22,28,30,20,30,2026-06-19 00:00:00
AUC-0404,Raw Materials & Metals,Procurement Request #0404 - Raw Materials & Metals,132277.64,48,29,28,10,15,2026-01-14 00:00:00
AUC-0405,Logistics & Freight,Procurement Request #0405 - Logistics & Freight,143255.37,34,29,12,25,5,2026-02-24 00:00:00
AUC-0406,Healthcare & Medical Supplies,Procurement Request #0406 - Healthcare & Medical Supplies,382105.15,46,39,12,10,30,2026-06-14 00:00:00
AUC-0407,IT Hardware,Procurement Request #0407 - IT Hardware,230372.52,43,27,23,7,15,2026-01-16 00:00:00
AUC-0408,Manufacturing & Heavy Machinery,Procurement Request #0408 - Manufacturing & Heavy Machinery,390588.17,54,18,26,10,5,2026-01-20 00:00:00
AUC-0409,Manufacturing & Heavy Machinery,Procurement Request #0409 - Manufacturing & Heavy Machinery,42029.42,39,12,16,33,5,2026-01-27 00:00:00
AUC-0410,Healthcare & Medical Supplies,Procurement Request #0410 - Healthcare & Medical Supplies,248909.88,34,27,22,17,10,2026-02-20 00:00:00
AUC-0411,Construction & Infrastructure,Procurement Request #0411 - Construction & Infrastructure,26470.66,35,28,30,7,10,2026-05-24 00:00:00
AUC-0412,Healthcare & Medical Supplies,Procurement Request #0412 - Healthcare & Medical Supplies,40700.07,55,23,13,9,15,2026-06-23 00:00:00
AUC-0413,Raw Materials & Metals,Procurement Request #0413 - Raw Materials & Metals,454154.35,42,38,13,10,10,2026-02-17 00:00:00
AUC-0414,Construction & Infrastructure,Procurement Request #0414 - Construction & Infrastructure,78230.23,45,26,20,9,10,2026-05-18 00:00:00
AUC-0415,Construction & Infrastructure,Procurement Request #0415 - Construction & Infrastructure,270886.13,43,39,21,10,15,2026-05-22 00:00:00
AUC-0416,Logistics & Freight,Procurement Request #0416 - Logistics & Freight,211436.85,38,23,30,10,30,2026-03-25 00:00:00
AUC-0417,Construction & Infrastructure,Procurement Request #0417 - Construction & Infrastructure,180198.23,35,28,27,10,10,2026-04-08 00:00:00
AUC-0418,Manufacturing & Heavy Machinery,Procurement Request #0418 - Manufacturing & Heavy Machinery,450918.34,50,39,18,10,15,2026-04-27 00:00:00
AUC-0419,Raw Materials & Metals,Procurement Request #0419 - Raw Materials & Metals,20693.46,45,10,11,34,15,2026-06-03 00:00:00
AUC-0420,IT Hardware,Procurement Request #0420 - IT Hardware,335256.95,53,14,19,14,5,2026-03-19 00:00:00
AUC-0421,Software & Cloud Services,Procurement Request #0421 - Software & Cloud Services,482063.27,33,37,20,10,5,2026-06-27 00:00:00
AUC-0422,Manufacturing & Heavy Machinery,Procurement Request #0422 - Manufacturing & Heavy Machinery,284482.41,32,39,27,10,10,2026-01-26 00:00:00
AUC-0423,IT Hardware,Procurement Request #0423 - IT Hardware,469043.01,49,21,14,16,10,2026-03-10 00:00:00
AUC-0424,Logistics & Freight,Procurement Request #0424 - Logistics & Freight,35606.36,57,17,17,9,15,2026-03-19 00:00:00
AUC-0425,IT Hardware,Procurement Request #0425 - IT Hardware,215208.73,51,22,28,10,10,2026-01-21 00:00:00
AUC-0426,Healthcare & Medical Supplies,Procurement Request #0426 - Healthcare & Medical Supplies,137477.32,35,35,25,10,10,2026-05-06 00:00:00
AUC-0427,Manufacturing & Heavy Machinery,Procurement Request #0427 - Manufacturing & Heavy Machinery,368102.27,51,36,13,10,15,2026-01-11 00:00:00
AUC-0428,Healthcare & Medical Supplies,Procurement Request #0428 - Healthcare & Medical Supplies,490835.57,56,22,12,10,5,2026-03-28 00:00:00
AUC-0429,Logistics & Freight,Procurement Request #0429 - Logistics & Freight,135699.73,47,23,13,17,10,2026-06-18 00:00:00
AUC-0430,Manufacturing & Heavy Machinery,Procurement Request #0430 - Manufacturing & Heavy Machinery,330545.55,53,39,10,10,30,2026-01-15 00:00:00
AUC-0431,Logistics & Freight,Procurement Request #0431 - Logistics & Freight,107067.84,53,11,20,16,10,2026-03-26 00:00:00
AUC-0432,Construction & Infrastructure,Procurement Request #0432 - Construction & Infrastructure,287011.82,34,14,11,41,30,2026-04-26 00:00:00
AUC-0433,Manufacturing & Heavy Machinery,Procurement Request #0433 - Manufacturing & Heavy Machinery,237326.92,53,28,26,10,5,2026-02-27 00:00:00
AUC-0434,Raw Materials & Metals,Procurement Request #0434 - Raw Materials & Metals,486282.61,38,35,22,5,10,2026-02-04 00:00:00
AUC-0435,Logistics & Freight,Procurement Request #0435 - Logistics & Freight,308178.36,25,25,28,22,5,2026-05-22 00:00:00
AUC-0436,Raw Materials & Metals,Procurement Request #0436 - Raw Materials & Metals,181258.12,36,12,22,30,30,2026-06-29 00:00:00
AUC-0437,Software & Cloud Services,Procurement Request #0437 - Software & Cloud Services,65906.93,28,25,27,20,10,2026-05-06 00:00:00
AUC-0438,Raw Materials & Metals,Procurement Request #0438 - Raw Materials & Metals,84110.95,51,16,27,10,10,2026-03-05 00:00:00
AUC-0439,IT Hardware,Procurement Request #0439 - IT Hardware,120405.3,37,34,23,6,15,2026-06-26 00:00:00
AUC-0440,Construction & Infrastructure,Procurement Request #0440 - Construction & Infrastructure,132973.66,25,13,23,39,30,2026-04-05 00:00:00
AUC-0441,Logistics & Freight,Procurement Request #0441 - Logistics & Freight,426801.87,32,20,21,27,5,2026-03-21 00:00:00
AUC-0442,Software & Cloud Services,Procurement Request #0442 - Software & Cloud Services,284999.17,42,29,24,5,10,2026-04-24 00:00:00
AUC-0443,IT Hardware,Procurement Request #0443 - IT Hardware,266461.55,34,16,21,29,10,2026-01-23 00:00:00
AUC-0444,IT Hardware,Procurement Request #0444 - IT Hardware,66236.75,23,17,29,31,10,2026-03-16 00:00:00
AUC-0445,IT Hardware,Procurement Request #0445 - IT Hardware,431468.45,41,32,13,14,15,2026-04-27 00:00:00
AUC-0446,Raw Materials & Metals,Procurement Request #0446 - Raw Materials & Metals,364179.01,21,20,16,43,10,2026-02-23 00:00:00
AUC-0447,Construction & Infrastructure,Procurement Request #0447 - Construction & Infrastructure,43157.5,48,34,18,10,30,2026-06-10 00:00:00
AUC-0448,Healthcare & Medical Supplies,Procurement Request #0448 - Healthcare & Medical Supplies,356839.2,29,32,10,29,30,2026-05-31 00:00:00
AUC-0449,Healthcare & Medical Supplies,Procurement Request #0449 - Healthcare & Medical Supplies,276333.73,53,11,18,18,10,2026-01-17 00:00:00
AUC-0450,Logistics & Freight,Procurement Request #0450 - Logistics & Freight,50045.42,27,35,29,10,15,2026-01-15 00:00:00
AUC-0451,Raw Materials & Metals,Procurement Request #0451 - Raw Materials & Metals,234567.31,20,12,22,46,15,2026-06-20 00:00:00
AUC-0452,Manufacturing & Heavy Machinery,Procurement Request #0452 - Manufacturing & Heavy Machinery,247501.18,43,37,13,7,5,2026-03-17 00:00:00
AUC-0453,Manufacturing & Heavy Machinery,Procurement Request #0453 - Manufacturing & Heavy Machinery,91229.52,44,17,22,17,5,2026-03-23 00:00:00
AUC-0454,Raw Materials & Metals,Procurement Request #0454 - Raw Materials & Metals,473392.09,53,27,12,10,10,2026-02-21 00:00:00
AUC-0455,Construction & Infrastructure,Procurement Request #0455 - Construction & Infrastructure,426487.93,49,27,10,14,5,2026-03-06 00:00:00
AUC-0456,Construction & Infrastructure,Procurement Request #0456 - Construction & Infrastructure,337820.95,39,20,25,16,30,2026-02-11 00:00:00
AUC-0457,IT Hardware,Procurement Request #0457 - IT Hardware,236524.82,42,31,21,6,15,2026-06-11 00:00:00
AUC-0458,Logistics & Freight,Procurement Request #0458 - Logistics & Freight,211765.12,35,26,18,21,5,2026-06-11 00:00:00
AUC-0459,Logistics & Freight,Procurement Request #0459 - Logistics & Freight,328977.0,44,38,10,8,15,2026-02-28 00:00:00
AUC-0460,Software & Cloud Services,Procurement Request #0460 - Software & Cloud Services,277261.62,36,38,22,10,10,2026-01-24 00:00:00
AUC-0461,Healthcare & Medical Supplies,Procurement Request #0461 - Healthcare & Medical Supplies,40513.82,39,26,29,10,10,2026-04-18 00:00:00
AUC-0462,Software & Cloud Services,Procurement Request #0462 - Software & Cloud Services,261126.3,56,14,23,7,15,2026-06-05 00:00:00
AUC-0463,Logistics & Freight,Procurement Request #0463 - Logistics & Freight,405137.77,48,27,14,11,10,2026-06-18 00:00:00
AUC-0464,Software & Cloud Services,Procurement Request #0464 - Software & Cloud Services,235027.54,52,27,16,10,10,2026-03-22 00:00:00
AUC-0465,Healthcare & Medical Supplies,Procurement Request #0465 - Healthcare & Medical Supplies,35458.72,48,39,14,10,30,2026-02-08 00:00:00
AUC-0466,Healthcare & Medical Supplies,Procurement Request #0466 - Healthcare & Medical Supplies,395276.32,51,39,15,10,15,2026-01-19 00:00:00
AUC-0467,Construction & Infrastructure,Procurement Request #0467 - Construction & Infrastructure,108668.25,49,40,13,10,10,2026-03-24 00:00:00
AUC-0468,Manufacturing & Heavy Machinery,Procurement Request #0468 - Manufacturing & Heavy Machinery,136724.21,29,33,10,28,15,2026-04-17 00:00:00
AUC-0469,Raw Materials & Metals,Procurement Request #0469 - Raw Materials & Metals,90706.11,39,24,30,7,15,2026-02-09 00:00:00
AUC-0470,Manufacturing & Heavy Machinery,Procurement Request #0470 - Manufacturing & Heavy Machinery,171805.38,32,13,14,41,10,2026-01-08 00:00:00
AUC-0471,Manufacturing & Heavy Machinery,Procurement Request #0471 - Manufacturing & Heavy Machinery,380808.24,54,29,18,10,10,2026-06-03 00:00:00
AUC-0472,Software & Cloud Services,Procurement Request #0472 - Software & Cloud Services,264499.07,34,31,10,25,15,2026-01-22 00:00:00
AUC-0473,Healthcare & Medical Supplies,Procurement Request #0473 - Healthcare & Medical Supplies,110391.82,50,14,26,10,30,2026-06-17 00:00:00
AUC-0474,Logistics & Freight,Procurement Request #0474 - Logistics & Freight,440136.74,31,37,22,10,30,2026-05-03 00:00:00
AUC-0475,Software & Cloud Services,Procurement Request #0475 - Software & Cloud Services,440995.11,30,16,17,37,5,2026-04-16 00:00:00
AUC-0476,Manufacturing & Heavy Machinery,Procurement Request #0476 - Manufacturing & Heavy Machinery,436583.43,20,39,18,23,30,2026-02-27 00:00:00
AUC-0477,Healthcare & Medical Supplies,Procurement Request #0477 - Healthcare & Medical Supplies,127010.14,32,34,16,18,5,2026-02-16 00:00:00
AUC-0478,Raw Materials & Metals,Procurement Request #0478 - Raw Materials & Metals,231107.28,54,25,20,10,30,2026-03-06 00:00:00
AUC-0479,Raw Materials & Metals,Procurement Request #0479 - Raw Materials & Metals,492644.93,45,34,11,10,30,2026-03-23 00:00:00
AUC-0480,Raw Materials & Metals,Procurement Request #0480 - Raw Materials & Metals,388286.11,54,40,28,10,5,2026-05-15 00:00:00
AUC-0481,IT Hardware,Procurement Request #0481 - IT Hardware,23312.04,48,24,11,17,10,2026-05-14 00:00:00
AUC-0482,Construction & Infrastructure,Procurement Request #0482 - Construction & Infrastructure,41950.25,45,33,11,11,30,2026-05-14 00:00:00
AUC-0483,Manufacturing & Heavy Machinery,Procurement Request #0483 - Manufacturing & Heavy Machinery,237326.37,55,40,11,10,10,2026-03-17 00:00:00
AUC-0484,Raw Materials & Metals,Procurement Request #0484 - Raw Materials & Metals,455517.9,40,38,19,10,15,2026-04-30 00:00:00
AUC-0485,Software & Cloud Services,Procurement Request #0485 - Software & Cloud Services,273963.88,47,19,29,5,5,2026-06-27 00:00:00
AUC-0486,Construction & Infrastructure,Procurement Request #0486 - Construction & Infrastructure,253928.13,29,24,30,17,30,2026-01-25 00:00:00
AUC-0487,Healthcare & Medical Supplies,Procurement Request #0487 - Healthcare & Medical Supplies,61682.11,52,13,15,20,10,2026-04-12 00:00:00
AUC-0488,Raw Materials & Metals,Procurement Request #0488 - Raw Materials & Metals,331822.25,40,24,10,26,10,2026-04-28 00:00:00
AUC-0489,Construction & Infrastructure,Procurement Request #0489 - Construction & Infrastructure,412830.55,32,38,24,6,5,2026-03-07 00:00:00
AUC-0490,Logistics & Freight,Procurement Request #0490 - Logistics & Freight,196405.8,30,32,13,25,5,2026-01-31 00:00:00
AUC-0491,Healthcare & Medical Supplies,Procurement Request #0491 - Healthcare & Medical Supplies,390049.81,43,30,21,10,5,2026-05-16 00:00:00
AUC-0492,Healthcare & Medical Supplies,Procurement Request #0492 - Healthcare & Medical Supplies,482593.56,39,33,26,10,10,2026-04-08 00:00:00
AUC-0493,Construction & Infrastructure,Procurement Request #0493 - Construction & Infrastructure,109845.56,44,11,15,30,15,2026-05-26 00:00:00
AUC-0494,Manufacturing & Heavy Machinery,Procurement Request #0494 - Manufacturing & Heavy Machinery,266431.52,29,15,14,42,10,2026-01-15 00:00:00
AUC-0495,Raw Materials & Metals,Procurement Request #0495 - Raw Materials & Metals,150697.6,39,19,24,18,15,2026-06-11 00:00:00
AUC-0496,Software & Cloud Services,Procurement Request #0496 - Software & Cloud Services,398498.67,27,38,14,21,10,2026-01-02 00:00:00
AUC-0497,Construction & Infrastructure,Procurement Request #0497 - Construction & Infrastructure,293020.75,36,10,24,30,30,2026-05-09 00:00:00
AUC-0498,Construction & Infrastructure,Procurement Request #0498 - Construction & Infrastructure,320945.38,20,29,25,26,10,2026-02-26 00:00:00
AUC-0499,Construction & Infrastructure,Procurement Request #0499 - Construction & Infrastructure,400977.94,45,24,23,10,30,2026-01-22 00:00:00
AUC-0500,Construction & Infrastructure,Procurement Request #0500 - Construction & Infrastructure,204025.53,58,10,17,15,15,2026-06-09 00:00:00
AUC-0501,Healthcare & Medical Supplies,Procurement Request #0501 - Healthcare & Medical Supplies,458394.13,50,36,16,10,5,2026-02-18 00:00:00
AUC-0502,Software & Cloud Services,Procurement Request #0502 - Software & Cloud Services,271184.14,23,30,21,26,5,2026-02-08 00:00:00
AUC-0503,Manufacturing & Heavy Machinery,Procurement Request #0503 - Manufacturing & Heavy Machinery,87397.86,22,31,28,19,15,2026-03-27 00:00:00
AUC-0504,IT Hardware,Procurement Request #0504 - IT Hardware,350990.57,23,13,23,41,10,2026-02-12 00:00:00
AUC-0505,Healthcare & Medical Supplies,Procurement Request #0505 - Healthcare & Medical Supplies,398698.06,33,29,29,10,10,2026-04-28 00:00:00
AUC-0506,Healthcare & Medical Supplies,Procurement Request #0506 - Healthcare & Medical Supplies,165213.22,57,21,11,11,5,2026-03-19 00:00:00
AUC-0507,Logistics & Freight,Procurement Request #0507 - Logistics & Freight,430017.84,38,38,22,10,5,2026-04-21 00:00:00
AUC-0508,Manufacturing & Heavy Machinery,Procurement Request #0508 - Manufacturing & Heavy Machinery,454010.19,55,12,19,14,30,2026-02-05 00:00:00
AUC-0509,IT Hardware,Procurement Request #0509 - IT Hardware,145683.2,37,20,26,17,30,2026-05-16 00:00:00
AUC-0510,Software & Cloud Services,Procurement Request #0510 - Software & Cloud Services,491925.52,33,29,11,27,5,2026-05-28 00:00:00
AUC-0511,Healthcare & Medical Supplies,Procurement Request #0511 - Healthcare & Medical Supplies,78948.65,55,26,12,10,30,2026-06-27 00:00:00
AUC-0512,Construction & Infrastructure,Procurement Request #0512 - Construction & Infrastructure,108987.68,38,23,29,10,15,2026-03-09 00:00:00
AUC-0513,Construction & Infrastructure,Procurement Request #0513 - Construction & Infrastructure,100270.17,51,29,21,10,10,2026-06-08 00:00:00
AUC-0514,Construction & Infrastructure,Procurement Request #0514 - Construction & Infrastructure,448054.96,46,26,30,10,30,2026-05-08 00:00:00
AUC-0515,Manufacturing & Heavy Machinery,Procurement Request #0515 - Manufacturing & Heavy Machinery,330603.35,26,38,29,10,10,2026-03-17 00:00:00
AUC-0516,Software & Cloud Services,Procurement Request #0516 - Software & Cloud Services,84531.1,20,13,10,57,30,2026-06-11 00:00:00
AUC-0517,Manufacturing & Heavy Machinery,Procurement Request #0517 - Manufacturing & Heavy Machinery,225758.48,27,33,16,24,30,2026-04-17 00:00:00
AUC-0518,IT Hardware,Procurement Request #0518 - IT Hardware,311496.03,41,21,27,11,10,2026-01-04 00:00:00
AUC-0519,Healthcare & Medical Supplies,Procurement Request #0519 - Healthcare & Medical Supplies,50897.4,32,32,19,17,15,2026-01-19 00:00:00
AUC-0520,Logistics & Freight,Procurement Request #0520 - Logistics & Freight,442384.02,39,26,27,8,15,2026-01-03 00:00:00
AUC-0521,IT Hardware,Procurement Request #0521 - IT Hardware,403765.73,41,20,22,17,5,2026-02-15 00:00:00
AUC-0522,Software & Cloud Services,Procurement Request #0522 - Software & Cloud Services,257551.32,36,36,20,10,30,2026-05-03 00:00:00
AUC-0523,Manufacturing & Heavy Machinery,Procurement Request #0523 - Manufacturing & Heavy Machinery,483892.04,22,30,14,34,30,2026-02-10 00:00:00
AUC-0524,Healthcare & Medical Supplies,Procurement Request #0524 - Healthcare & Medical Supplies,214702.88,44,38,27,10,15,2026-04-30 00:00:00
AUC-0525,Manufacturing & Heavy Machinery,Procurement Request #0525 - Manufacturing & Heavy Machinery,492214.06,41,39,11,10,15,2026-05-26 00:00:00
AUC-0526,Healthcare & Medical Supplies,Procurement Request #0526 - Healthcare & Medical Supplies,337280.8,40,27,27,6,5,2026-02-24 00:00:00
AUC-0527,Construction & Infrastructure,Procurement Request #0527 - Construction & Infrastructure,320988.92,36,35,21,10,5,2026-02-09 00:00:00
AUC-0528,Logistics & Freight,Procurement Request #0528 - Logistics & Freight,91317.9,21,20,22,37,10,2026-05-28 00:00:00
AUC-0529,Construction & Infrastructure,Procurement Request #0529 - Construction & Infrastructure,442144.6,44,15,29,12,5,2026-03-21 00:00:00
AUC-0530,Healthcare & Medical Supplies,Procurement Request #0530 - Healthcare & Medical Supplies,219469.95,40,32,11,17,15,2026-04-17 00:00:00
AUC-0531,IT Hardware,Procurement Request #0531 - IT Hardware,89494.37,46,38,17,10,15,2026-04-27 00:00:00
AUC-0532,Manufacturing & Heavy Machinery,Procurement Request #0532 - Manufacturing & Heavy Machinery,16177.68,39,16,26,19,15,2026-02-15 00:00:00
AUC-0533,IT Hardware,Procurement Request #0533 - IT Hardware,284280.28,43,35,11,11,10,2026-01-25 00:00:00
AUC-0534,Raw Materials & Metals,Procurement Request #0534 - Raw Materials & Metals,268425.81,52,10,25,13,10,2026-02-19 00:00:00
AUC-0535,Logistics & Freight,Procurement Request #0535 - Logistics & Freight,362483.27,45,33,26,10,15,2026-03-26 00:00:00
AUC-0536,Software & Cloud Services,Procurement Request #0536 - Software & Cloud Services,446226.45,26,36,26,12,10,2026-02-23 00:00:00
AUC-0537,Healthcare & Medical Supplies,Procurement Request #0537 - Healthcare & Medical Supplies,48909.23,22,24,22,32,5,2026-01-03 00:00:00
AUC-0538,Logistics & Freight,Procurement Request #0538 - Logistics & Freight,368433.28,22,31,29,18,5,2026-03-28 00:00:00
AUC-0539,Raw Materials & Metals,Procurement Request #0539 - Raw Materials & Metals,101831.85,22,13,26,39,15,2026-01-07 00:00:00
AUC-0540,Construction & Infrastructure,Procurement Request #0540 - Construction & Infrastructure,430506.76,39,30,16,15,15,2026-02-22 00:00:00
AUC-0541,Software & Cloud Services,Procurement Request #0541 - Software & Cloud Services,411341.12,38,18,27,17,15,2026-04-24 00:00:00
AUC-0542,Healthcare & Medical Supplies,Procurement Request #0542 - Healthcare & Medical Supplies,274988.94,27,18,14,41,10,2026-03-13 00:00:00
AUC-0543,IT Hardware,Procurement Request #0543 - IT Hardware,358018.97,20,40,29,11,5,2026-02-23 00:00:00
AUC-0544,Construction & Infrastructure,Procurement Request #0544 - Construction & Infrastructure,164031.56,42,27,20,11,15,2026-02-07 00:00:00
AUC-0545,Healthcare & Medical Supplies,Procurement Request #0545 - Healthcare & Medical Supplies,240872.27,38,28,17,17,10,2026-01-20 00:00:00
AUC-0546,Logistics & Freight,Procurement Request #0546 - Logistics & Freight,412602.08,54,38,20,10,30,2026-01-14 00:00:00
AUC-0547,Software & Cloud Services,Procurement Request #0547 - Software & Cloud Services,235039.95,21,25,11,43,5,2026-04-10 00:00:00
AUC-0548,IT Hardware,Procurement Request #0548 - IT Hardware,185321.15,25,23,22,30,10,2026-06-03 00:00:00
AUC-0549,Construction & Infrastructure,Procurement Request #0549 - Construction & Infrastructure,252164.1,55,36,24,10,15,2026-03-22 00:00:00
AUC-0550,Logistics & Freight,Procurement Request #0550 - Logistics & Freight,415842.13,32,32,27,9,5,2026-05-01 00:00:00
AUC-0551,Construction & Infrastructure,Procurement Request #0551 - Construction & Infrastructure,174251.94,28,12,24,36,5,2026-04-28 00:00:00
AUC-0552,Logistics & Freight,Procurement Request #0552 - Logistics & Freight,95143.18,49,25,17,9,10,2026-02-07 00:00:00
AUC-0553,Manufacturing & Heavy Machinery,Procurement Request #0553 - Manufacturing & Heavy Machinery,358886.87,54,18,21,10,30,2026-02-17 00:00:00
AUC-0554,Healthcare & Medical Supplies,Procurement Request #0554 - Healthcare & Medical Supplies,414729.32,36,35,20,10,30,2026-05-06 00:00:00
AUC-0555,IT Hardware,Procurement Request #0555 - IT Hardware,59312.36,24,25,13,38,15,2026-05-04 00:00:00
AUC-0556,Raw Materials & Metals,Procurement Request #0556 - Raw Materials & Metals,127538.32,30,19,21,30,10,2026-05-12 00:00:00
AUC-0557,IT Hardware,Procurement Request #0557 - IT Hardware,79566.27,45,36,13,6,15,2026-05-24 00:00:00
AUC-0558,Healthcare & Medical Supplies,Procurement Request #0558 - Healthcare & Medical Supplies,180491.29,24,35,19,22,30,2026-04-14 00:00:00
AUC-0559,Construction & Infrastructure,Procurement Request #0559 - Construction & Infrastructure,230671.98,46,17,29,8,10,2026-05-22 00:00:00
AUC-0560,Software & Cloud Services,Procurement Request #0560 - Software & Cloud Services,376924.91,50,22,12,16,15,2026-02-24 00:00:00
AUC-0561,Manufacturing & Heavy Machinery,Procurement Request #0561 - Manufacturing & Heavy Machinery,329062.32,52,23,23,10,15,2026-05-21 00:00:00
AUC-0562,Healthcare & Medical Supplies,Procurement Request #0562 - Healthcare & Medical Supplies,314255.0,35,15,12,38,30,2026-01-31 00:00:00
AUC-0563,Construction & Infrastructure,Procurement Request #0563 - Construction & Infrastructure,182663.72,53,24,20,10,5,2026-04-25 00:00:00
AUC-0564,Software & Cloud Services,Procurement Request #0564 - Software & Cloud Services,422309.3,34,40,22,10,5,2026-06-04 00:00:00
AUC-0565,IT Hardware,Procurement Request #0565 - IT Hardware,240930.71,53,34,22,10,15,2026-05-08 00:00:00
AUC-0566,Healthcare & Medical Supplies,Procurement Request #0566 - Healthcare & Medical Supplies,489761.42,23,12,16,49,10,2026-05-30 00:00:00
AUC-0567,Manufacturing & Heavy Machinery,Procurement Request #0567 - Manufacturing & Heavy Machinery,320729.65,55,35,10,10,10,2026-06-20 00:00:00
AUC-0568,Software & Cloud Services,Procurement Request #0568 - Software & Cloud Services,71869.72,48,27,19,6,30,2026-06-08 00:00:00
AUC-0569,Construction & Infrastructure,Procurement Request #0569 - Construction & Infrastructure,341327.01,48,16,16,20,15,2026-03-19 00:00:00
AUC-0570,Construction & Infrastructure,Procurement Request #0570 - Construction & Infrastructure,169300.97,34,39,23,10,15,2026-01-24 00:00:00
AUC-0571,Construction & Infrastructure,Procurement Request #0571 - Construction & Infrastructure,346300.33,20,29,26,25,30,2026-02-03 00:00:00
AUC-0572,Manufacturing & Heavy Machinery,Procurement Request #0572 - Manufacturing & Heavy Machinery,44124.16,38,11,21,30,5,2026-01-02 00:00:00
AUC-0573,Healthcare & Medical Supplies,Procurement Request #0573 - Healthcare & Medical Supplies,95691.9,50,36,21,10,5,2026-03-15 00:00:00
AUC-0574,Manufacturing & Heavy Machinery,Procurement Request #0574 - Manufacturing & Heavy Machinery,429311.26,21,17,23,39,30,2026-06-11 00:00:00
AUC-0575,Logistics & Freight,Procurement Request #0575 - Logistics & Freight,121317.98,44,22,22,12,30,2026-05-21 00:00:00
AUC-0576,Software & Cloud Services,Procurement Request #0576 - Software & Cloud Services,420150.15,31,25,14,30,10,2026-05-24 00:00:00
AUC-0577,Raw Materials & Metals,Procurement Request #0577 - Raw Materials & Metals,146845.28,38,36,23,10,10,2026-03-16 00:00:00
AUC-0578,Manufacturing & Heavy Machinery,Procurement Request #0578 - Manufacturing & Heavy Machinery,325012.14,28,14,10,48,5,2026-06-16 00:00:00
AUC-0579,IT Hardware,Procurement Request #0579 - IT Hardware,350133.78,29,33,25,13,30,2026-02-05 00:00:00
AUC-0580,IT Hardware,Procurement Request #0580 - IT Hardware,261200.83,28,30,23,19,30,2026-06-29 00:00:00
AUC-0581,Construction & Infrastructure,Procurement Request #0581 - Construction & Infrastructure,159602.23,47,29,15,9,30,2026-05-12 00:00:00
AUC-0582,Raw Materials & Metals,Procurement Request #0582 - Raw Materials & Metals,114195.74,50,36,24,10,30,2026-04-02 00:00:00
